hfr_id,official_hfr_id,hfr_id_source,source_record_id,hospital_name,address,location_text,state,district,subdistrict,pincode,hospital_category,hospital_care_type,discipline,specialties,facilities,total_beds,emergency_services,latitude,longitude,source,data_quality_status
3441591151,,mvp_generated,1,Chakraborty Multi Speciality Hospital,Near Dollygunj Junction,Near Dollygunj Junction,Andaman and Nicobar Islands,South Andaman,,744101,,Hospital,Allopathic,,,,,11.6357989,92.7120575,data.gov.in hospital directory,VALIDATED
8384520789,,mvp_generated,2,Inhs Dhanvantri,Medical Board Office,Medical Board Office,Andaman and Nicobar Islands,South Andaman,,744101,,,Allopathic,,,,,11.8311681,92.6586401,data.gov.in hospital directory,VALIDATED
6120873159,,mvp_generated,3,Maricar Hospital,Near Masjid,Near Masjid,Andaman and Nicobar Islands,South Andaman,,744103,,Hospital,Allopathic,,,,,11.8311681,92.6586401,data.gov.in hospital directory,VALIDATED
3193047432,,mvp_generated,4,Pillar Health Centre,"Lamba Line, P.B. No. 526","Lamba Line, P.B. No. 526",Andaman and Nicobar Islands,South Andaman,,744103,,,Allopathic,,,,,11.6498468,92.7294624,data.gov.in hospital directory,VALIDATED
5822529061,,mvp_generated,5,"G B Pant Hospital, Port Blair","GB Pant Road, City Centre, Port Blair","GB Pant Road, City Centre, Port Blair",Andaman and Nicobar Islands,South Andaman,,744103,Public/ Government,Hospital,Allopathic,"Surgery, Medicine, Gynaecology, Pediatrics, ENT, Pathology and Ophthalmology",,,,11.6233774,92.7264828,data.gov.in hospital directory,VALIDATED
1149903228,,mvp_generated,6,"Care Hospital, Banjara","Road No.1, Banjara Hills","Road No.1, Banjara Hills",Andhra Pradesh,Hyderabad,,500034,Private,Hospital,Allopathic,"Anaesthesiology, Bio-Chemistry, Cardiac Yoga,\nCardiology\nCardiothoracic Surgery, Chest Physician, Critical Care, Dentistry and Maxillofacial Surgery, Dermatology, Diabetology, Dietetics, Emergency Medicine,\n Endocrinology, Endoscopy, Gastroenterology,\n Gastrointestinal Medicine,\n General Medicine,\n General Surgery,\n Geriatrics, Gynaecology,\n haematology, Hepatology,\n Internal Medicine,\n Interventional Radiology,\n Laboratory Medicine,\n Laparoscopic Surgery,\n Medical Oncology,\n Micro-Biology, Nephrology,\n Neuro Surgery, Neurology,\n Nuclear Medicine,\n Obstetrics and Gynaecology,\n Ophthalmology,\n Orthopedics and Traumatology,\nOtorhinolaryngology\n Pathology, Pediatric, Cardiology,\n Pediatric Surgery, Pediatric,\n Pediatric and Neonatology,\n Physiotherapy, Plastic Surgery and Cosmetic Surgery, Preventive, Medicine / Wellness, Psychiatry,\n Pulmonology, Radio-Diagnosis,\n Radiology, Respiratory, Medicine, Rheumatology, Sports Medicine\n Surgical Gastroenterology\n Surgical Oncology, Urology\n Vascular Surgery","Ambulance, Blood Bank,\nCasualty, Diagnostic, Services,\nDialysis Unit, Electrotherapy,\nEmergency Room, Exercise therapy,\nHome Health, Care Services\nLifestyle Clinic - A Preventive Medicine Centre, Pharmacy",,,17.4274003,78.4311174,data.gov.in hospital directory,VALIDATED
8921478791,,mvp_generated,7,Aasha Hospitals,"7/201, Court Road","7/201, Court Road Anantapur 515001  Anantapur",Andhra Pradesh,Anantapur,,515001,,,,,,,,14.6795736,77.592469,data.gov.in hospital directory,VALIDATED
7445312922,,mvp_generated,8,Abhaya Kidney Care Multispeciality Hospital,"10-470, Adimurthy Nagar, Opposite Guild Off Service School","10-470, Adimurthy Nagar, Opposite Guild Off Service School",Andhra Pradesh,Anantapur,,515001,,,,,,,,,,data.gov.in hospital directory,NEEDS_COORDINATE_REVIEW
2243502461,,mvp_generated,9,Baby Hospital,"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex","Hyma Test Tube Baby and Research Centre, Baby Hospital Complex, Sainagar,Anantapur",Andhra Pradesh,Anantapur,,515001,,,,,,,,14.6818877,77.6005911,data.gov.in hospital directory,VALIDATED
7443406079,,mvp_generated,10,Dr Akbar Eye Hospital And Laser Centre,"12-3-234, 6Th Cross Sai Nagar","12-3-234, 6Th Cross Sai Nagar Anantapur 515001  Anantapur",Andhra Pradesh,Anantapur,,515001,,,,,,,,14.6723351,77.6018211,data.gov.in hospital directory,VALIDATED
