mvp_hfr_id,official_hfr_id,hospital_name,source_record_id,address,latitude,longitude,source
HFR_MOCK_000001,,Chakraborty Multi Speciality Hospital,0,"Near Dollygunj Junction, South Andaman, Andaman and Nicobar Islands - 744101",11.6357989,92.7120575,data.gov.in
HFR_MOCK_000002,,Inhs Dhanvantri,1,"Medical Board Office, South Andaman, Andaman and Nicobar Islands - 744101",11.8311681,92.6586401,data.gov.in
HFR_MOCK_000003,,Maricar Hospital,2,"Near Masjid, South Andaman, Andaman and Nicobar Islands - 744103",11.8311681,92.6586401,data.gov.in
HFR_MOCK_000004,,Pillar Health Centre,3,"Lamba Line, P.B. No. 526, South Andaman, Andaman and Nicobar Islands - 744103",11.6498468,92.7294624,data.gov.in
HFR_MOCK_000005,,"G B Pant Hospital, Port Blair",4,"Gb Pant Road, City Centre, Port Blair, South Andaman, Andaman and Nicobar Islands - 744103",11.6233774,92.7264828,data.gov.in
HFR_MOCK_000006,,"Care Hospital, Banjara",5,"Road No.1, Banjara Hills, Hyderabad, Andhra Pradesh - 500034",17.4274003,78.4311174,data.gov.in
HFR_MOCK_000007,,Aasha Hospitals,6,"7/201, Court Road, 7/201, Court Road Anantapur 515001  Anantapur, Andhra Pradesh - 515001",14.6795736,77.592469,data.gov.in
HFR_MOCK_000008,,Baby Hospital,8,"Hyma Test Tube Baby And Research Centre, Baby Hospital Complex, Hyma Test Tube Baby and Research Centre, Baby Hospital Complex, Sainagar,Anantapur, Andhra Pradesh - 515001",14.6818877,77.6005911,data.gov.in
HFR_MOCK_000009,,Dr Akbar Eye Hospital And Laser Centre,9,"12-3-234, 6Th Cross Sai Nagar, 12-3-234, 6Th Cross Sai Nagar Anantapur 515001  Anantapur, Andhra Pradesh - 515001",14.6723351,77.6018211,data.gov.in
HFR_MOCK_000010,,Hrudaya Children Hospital,11,"Sai Nagar Iind Cross, Sai Nagar Iind Cross,Anantapur, Andhra Pradesh - 515001",14.6749908,77.6032432,data.gov.in
HFR_MOCK_000011,,"Jeevana Jyothi Hospitals Ltd.,",12,"#15-381, Kamala Nagar, 15-381, Kamala Nagar,., Anantapur, Andhra Pradesh - 515001",17.4738037,78.5641765,data.gov.in
HFR_MOCK_000012,,Meda Nursing Home,14,"Railway Station Road, Anantapur, Andhra Pradesh - 515001",14.6818877,77.6005911,data.gov.in
HFR_MOCK_000013,,Mnr Nursing Home,15,"12/3-269, Sai Nagar, 6Th Cross, 12/3-269, Sai Nagar, 6Th Cross, Anantapur, Andhra Pradesh - 515001",14.6723351,77.6018211,data.gov.in
