position_group,latitude,longitude,hospital_count,hospitals,states,districts
"19.076, 72.878",19.0759837,72.8776559,68,Kakraniya Hospital | Dr. Ramesh Chaudhari | Prathana Hospital | Sai Hospital | Uday Pathak Hospital | Bay View Clinic | Dr. Rajesh D Mody - V.P.Road | Hematology Laboratory | V.A.D.T Nursing Home | Dr Turners S Speciality Dental Centre,Maharashtra,Amravati | Mumbai | Nashik | Thane
"18.52, 73.857",18.5204303,73.85674370000001,61,Pawna Hospital | Ambekar Hospital | Hitech Urology Institute(Dr.Kanitkar) | Moolanis Eye Care Centre | Nm Wadia Institute Of Cardiology | PHC Taregaon | Poona Center For Womens Health | Vinay Clinic | Bora Hospital | Ameya Clinic,Maharashtra,Pune | Solapur
"22.72, 75.858",22.7195687,75.8577258,60,"Aastha Hospital | Advanced Eye Care And Research Center Pvt. Ltd | Apoorva Nursing Home,Indore | Bhagwati Nursing Home | Care Medical Investigation | Chl-Cbcc Cancer Center | Christian Hospital | Crystal Lithotripsy and Urology Centre | Dashore Ortho+ Physio Clinic | Dr.Satish Gupta Hospital",Madhya Pradesh,Indore | Shahdol
"22.304, 70.802",22.303894500000002,70.8021599,46,"Centre For Sight, Rajkot | Ayush Hospital | Darshan Eye Hospital | Dr. Mody Hospital | Dr. Nirbhay Shah Joint Replacement Fellow | Dr. Swami I.P | Gaurav Accident - Fracture Hospital andResearch Inst | Gokul Hospital And Trauma Centre | Jain Hospital | Kalindi Hospital",Gujarat,Rajkot
"24.174, 72.433",24.174051,72.4330989,36,"Aarti Hospital and Maternity Home | Aastha Ortho and Fracture Hospital | Aastha Orthopaedic Hospital | Abha Eyes Hospital | Aman Phaco Surgery | Ashirwad Hospital,Banaskantha | Astha Orthopaedic and Fracturehospital | Avm Surgical Hospital | Bavishi Hospital | Civil Hospital",Gujarat,Banas kantha
"17.66, 75.906",17.6599188,75.9063906,34,Accident and Maternity Hospital | Bashweshwar Hospital | Bharti Hospital | Dr Valsangkar Hospital | Dr.A.K.Kelkar | Gayatri Hospital | Jayram Ent Hospital | Lokmangal Medical Foundation and Research Centre | Panchsheel Maternity Home | S P Institute Of Neurosciences,Maharashtra,Solapur
"8.524, 76.937",8.5241391,76.9366376,33,Attikal Devi Institute Of Medical Sciences Ltd | Government Taliparamba Hospital | Gowreesha Hospital | Regional Institute Of Ophthalmology | Government Ayurveda College Hospital Thiruvanantha | Sree Uthradom Thirunal Hospital - Thiruvananthapuram | Blessing Hospital | Dr Govindans Hospital | Kolath Medical Center Pvt Ltd | Bhavani Arogyanikethanam,Kerala,Ernakulam | Thiruvananthapuram
"16.705, 74.243",16.7049873,74.2432527,31,Patki Hospital | Ramkrishna Hospital | Shubham Karoti Hospital | Sanjeevan Hospital and Critical Care Unit | Shree Mahalaxmi Nursing Home | Yasho Dip Orthopadic Centre and Genral Hospital | Gayatri Hospital | Joshi Hospital And Dialysis Centre | Pragati Netra Hospital | Saideep Fracture and Accident Hospital,Maharashtra,Kolhapur | Sangli
"21.146, 79.088",21.1458004,79.0881546,31,Ajit Clinic | Mure Memorial Hospital | Sevanjali Maternity Home | Arihant Surgical And Maternity Hospital | Ganeriwal Hospital | Pathology Laboratory | Ace Womens Hospital | Itkelwar Multispeciality Hospital | Lotus Hospitaland Research Centre and Mat Home | Arneja Heart Institute,Maharashtra,Nagpur
"21.008, 75.563",21.0076578,75.56260390000001,30,"Deore Hospital Chalisgaon | Aarogyam Advanced Surgical Centre | Chinmay Hospital And Critcal Care Centre | Damani Maternity and Surgical Hospital,Jalgaon | Disha Eye Hospital | Godavari Hospital And Sonography Centre | Gokul Hospital | Heramb Netralaya | Jeevan Nursing Home | K.K.Nursing Home",Maharashtra,Jalgaon
"23.26, 77.413",23.2599333,77.412615,30,Bopal Multi Speciality Hospital | Aashna Orthopaedic Hospital | Bopal Eye Care Centre | Vanza Hospital | Krishna Shalby Hospital | Bopal Multispeciality Hospital | Bhopal Care Hospital | Faiz Eye Hospital | Gandhi Medical College and Hamidia Hospital | Gulati Clinic,Gujarat | Madhya Pradesh,Ahmedabad | Bhopal
"19.033, 72.896",19.0327996,72.8963568,29,Aditya Health Care | Diamond Polyclinic and Nursing Home | Disha Polyclinic and Nursing Home | Dr Smita Mukherjees Eye Clinic | Dr. Das Hospital - Chembur (Mumbai) | Dr. Sanjay Sonars Laproscopy and Scopy Centre | Dr. Shubha Rao | Excel Urology Centre | Hegde Hospital Surgical and Maternity Nursing Home | Icon Hospital and Research Centre,Maharashtra,Mumbai
"19.997, 73.79",19.9974533,73.7898023,29,Arihant Hospital | Deepjyoti Hospital | Dr. A. K Pawar Institute Of Obstetrics Gynaecology | Nirantar Jyot'' Laser Eye Center | Supe Hospital | Tulshi Hospital | Vimal Maternity And General Hosp | Vishwesh Childrens Hospital | Ayush Hospital | Birla Super Speciality Eye Hospital,Maharashtra,Nashik
"22.307, 73.181",22.3071588,73.1812187,29,"Amardeep Eye Hospital | Ashwini Medical Centre | Bhagat Hospital | Ankur Children Hospital and Neonatal Nursery | Shree Nandan Eye Hospital | Smt. B.K. Shah Medical Institute and Research Centre, Piparia, Wabghodia | GMERS Medical College and Hospital, Gotri | Dr. Dandekar Eye Clinic And Surgery Centre | Nirali Clinic | Riyal Clinic",Gujarat | Haryana | Maharashtra,Anand | Panchmahal | Surat | Vadodara | Sonipat | Solapur
"23.604, 72.964",23.6036268,72.9639461,28,A V M Orthopaedic Hospital | Aashay Eye Hospital | Aavkar Hospital | Aayush Heart and Medicare Hospital | Bhagyoday Charitable Trust | Chirag Hospital | Civil Hospital | Harsh Surgical Hospital | J K Orthopedic Hospital | Jay Children Hospital,Gujarat,Sabar kantha
"19.136, 72.828",19.1363246,72.82766,27,"Ameya Maternity and Nursing Home | Bellevue Multispeciality Hospital | Benzer Nursing Home, Andheri | Dr. Indus New Born And Child Care Centre | Dr. Jk Shah's Eye Clinic and Laser Centre | Dr. M.I.Doongerwala - Andheri | Dr. Pareeks Deafness Clinic and Ent Hospital - Andheri | Parijat Surgical and General Hospital | Siddhivinayak Surgical Centre | Super Religare Laboratories Ltd",Maharashtra,Mumbai
"19.876, 75.343",19.8761653,75.3433139,27,Haddi and Dental Hospital | Health World | Pulse Women Hospital | Shanker Nursing Home | Swastik Hospital | Amaan Hospital Surgical and Orthopaedics | Ashtvinayak Hospital | Bhartiyua Maternity And Nursing Home | Citicare Superspeciality Hospital | Evangeline Booth Hospital,Bihar | Maharashtra,Aurangabad
"16.307, 80.437",16.3066525,80.4365402,26,Ahalya Nursing Home | Nandanaa's Multi Care Hospital | Padmas Hospital | Purnasai Hospital | Sathvika Hospital | Sri Krishna Institute Of Medical Sciences | Sujatha Laparoscopy and Infertility Centre | Venkata Ramana Eye Hospital | Childrens Hospital | Pratyusha Childrens Hospital,Andhra Pradesh,Guntur
"31.105, 77.173",31.1048145,77.1734033,26,Civil Hospital | Community Health Centre | DDU Hospital | GovernmentDental Collage | Indira Gandhi Medical Collage | Indus Hospital | Bhartiya Chikitsa And Homeopethic Department | Ddu Hospital / Deen Dyal Upadhyay Zonal Hospital | Government Dental College and Hospital | Indira Gandhi Medical College and Hospital,Himachal Pradesh | Maharashtra,Shimla | Thane
"32.1, 76.269",32.0998031,76.2691006,26,"Maple Leaf Hospital | Rama Hospital Nursing and Maternity Home | Shri Balaji Hospital | Civil Hospital | Ayurvedic Hospital, Dehrra | Dr.Rajendra Prasad Government  Medical College | Ayurvedic Hospital | Community Health Centre | Sai Mahima Shukla Hospital | Mela Mal Sood Rotary Eye Hospital",Himachal Pradesh,Kangra
"9.592, 76.522",9.5915668,76.5221531,26,"Thaluk Head Quarters | Women And Children | Institute Of Child Health and Children Hospital | Medical College Hospital | Paret Mar Ivanios Hospital | The Mundakapadam Mandiram Hospital, | Medicare Childrens Hospital | Pampady | S. Joseph Memorial Hospital | Pnp Memorial (Kvms) Hindu Medical Mission",Kerala,Kottayam
"23.023, 72.571",23.022505000000002,72.5713621,25,GMERS Medical College | Abc Dental Clinic andHospital | Asha Orthoscopi Center | Ashray Clinic | Dr. Devendra Kanaiyalal Hosp and Nursing Home | Dr.Santosh C.Raibagkar | M.P Shah Cancer Hospital | Orthopedic and Trauma Centre | Vihar Hospital | Dr Gandhi Orthopaedic Hospital,Gujarat,Ahmedabad
"19.173, 72.943",19.1725542,72.942537,24,Abhinav Kidney Dialysis And Health Centre - Mulund | Aditi Hospital Accident Fracture and Surgical Clinic | Apex Kidney Care (Dialysisnetworks) | Ashwini Hospital and I. C. C. U. | Devkunj Charitablr Trust Matushri Mankbai Nagji Sa | Dr Shettys E N T Hospital | Dr. Khona E N T Hospital | Dr. Simandhars Eye Care Centre | Indira Nursing Home | Mahavir Orthopaedic and General Hospital - Mulund (W),Maharashtra,Mumbai
"16.506, 80.648",16.5061743,80.6480153,23,Yalamanchi Hospitals and Research Centres Pvt Ltd | Chaitra Hospitals Surgical And Maternity | City Cancer Centre | Giridhar Ent Hospital | Help Hospital Pvt Limited | Ishwarya Maternity Hospital | Latha Superspecialities | Life Line Trimurthy Hospital | Meenakshi Eye Hospital | Mother and Child Hospital and Family Hospital,Andhra Pradesh,Krishna
"23.698, 72.538",23.6977038,72.5382293,23,Dhanvidhya Hospital | PHC Kansarakui | PHC Kharavada | PHC Valam | Aakash Eye Hospital | Aesha Hospital | Arni Hospital | Drashti Eye Hospital | Gokul Orthopaedic Hospital | Jivanyog Nursing Home,Gujarat,Mahesana
"14.443, 79.986",14.442598699999998,79.986456,22,Anasuya Institute Medical Sciences | Bhaskar Reddy Hospital | Dr Andals Lakshmi Fertility Research and Laparoscopic Surgical Centre | Dr P Madhusudhana Sastry Hospital | Dr.P.V.Ramchandra Reddys Peoples Polyclinic | Guram Chilren Hospital | Lalitha Hebbar Nursing Home | Latha Matrnity and Children Hospital | Modern Eye Hospital And Research Centre | R K Eye Care Center,Andhra Pradesh,SPSR Nellore
"21.251, 81.63",21.2513844,81.6296413,22,Banthia Hospital | Dr Pants Paediatric Speciality Clinic | Ekta Institute Of Child Health | Ganpati Hospital (Banthia Hospital) | Gupta Dental Clinic | Infectious Disease Hospital | Nigam Ent Hospital | P D Jethani Memorial Hospital and Diagnostic Center | Pragya Hospital | Raipur Hospital,Chhattisgarh,Raipur
"22.962, 76.051",22.9622672,76.0507949,22,"Agrawal Medicare | Chandra Nursing Home | Civil Hospital Kannod | Community Health Centre | Dewas Hospital And Research Centre Pvt Ltd | Gagrani Hospital | Geeta Bhawan Hospital, Sonkatch. | Joseph Hospital | Khare Nursing Home And Maternity Home | Kothari Nursing Home",Madhya Pradesh,Dewas | Ujjain
"23.037, 72.561",23.036556077272728,72.56115284090909,22,Pulse Women's Hospital | Hemato Oncology Clinic Pvt.Ltd. | Asian Institute Of Gastroenterology Surgery | Navneet Memorial Hospital | Maniar Hospital | Anamay Eye Hospital - Ahmedabad | Astha Kidney And Laparoscopy Hospital | Banker`S Retina Clinic and Laser Centre | Dr. Devendra Patel Nursing Home | Dr. Mahendra Naik,Gujarat,Ahmedabad
"23.181, 79.986",23.181467,79.9864071,22,Akshay Maternity And Nursing Home | Chhavi Eye Hospital Ice Phoco And Navex Laser Cent | Dube Surgical And Dental Hospital - Jabalpur | Hussain Eye Hospital and Lesar and Pacho Surgery Cente | Johri Hospital | Narmada Hospital | P.G. Hospital | Seth Govonddas Hospital | Seth Mannulal Jagannathdas Trust | Shubh Labh Hospital,Madhya Pradesh,Jabalpur
"22.692, 72.863",22.691590914285715,72.86333781428573,21,Arpita Hospital and Maternity Home | Ashish Medical Nursing Home | Dr. Dinesh Pandhi's New Hospital | Dr. Janki V. Amin | Dr. Nalini Maternity Home | Dr. Sanghvi Maternity Home | Gopal Children Hospital and Neonatal Care Nursery | Life Support Hospital | Muljibhai Patel Urological Hospital | Omkar Hospital,Gujarat,Kheda
"22.779, 73.614",22.7788044,73.6142795,21,Lara Hospital | Alwani Surgical Hospital | Bhagyoday Surgical Hospital | Bhavsar Surgical Hospital | Dr. Millwala Children Hospital | Fakhri Hospital and Heart Care Centre | Kalpataru Surgical Hospital | Kalrav Children Hospital | Masoom Children Hospital | Medical Nursing Home and Heart Care Centre,Gujarat,Panchmahal
"30.378, 76.777",30.3781788,76.7766974,21,Sharma Eye Center | M K Surgical Hospital | Patnaik Hospital | Baveja Hospital | Choudhry Children Hospital | General Hospital | Goyal Ashok Deep Hospital Cum-Residence | J.C Memorial Chldren Hospital | Kapil Eye Hospital | M.M Hospital,Chandigarh | Haryana,Chandigarh | Ambala | Kaithal
"8.893, 76.614",8.8932118,76.6141396,21,A M Hospital | Mariyanam Hospital | Arafa M M Hospital | Bishop Benziger Hospital | S.N. Trust Medical Mission Hospital | Sree Narayana Trusts Medical Mission | Dr.Viswanathan Memmorial Hospital | Thayabji Hospital | Poyanil Hospital | St. Thomas Hospital,Kerala,Kollam
