Sr_No,Hospital_Name,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Address_Original_First_Line,Location,State,District,Subdistrict,Pincode,Telephone,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Website,Specialties,Facilities,Establised_Year,Emergency_Services,latitude,longitude,total_beds,position_group
1,Chakraborty Multi Speciality Hospital,,Hospital,Allopathic,Near Dollygunj Junction,Near Dollygunj Junction,Andaman and Nicobar Islands,South Andaman,,744101,03192 251971,,,,,,,,,11.6357989,92.7120575,,"11.636, 92.712"
2,Inhs Dhanvantri,,,Allopathic,Medical Board Office,Medical Board Office,Andaman and Nicobar Islands,South Andaman,,744101,,,,,,,,,,11.8311681,92.6586401,,"11.831, 92.659"
3,Maricar Hospital,,Hospital,Allopathic,Near Masjid,Near Masjid,Andaman and Nicobar Islands,South Andaman,,744103,03192 233434,9933280204,,,,,,,,11.8311681,92.6586401,,"11.831, 92.659"
4,Pillar Health Centre,,,Allopathic,"Lamba Line, P.B. No. 526","Lamba Line, P.B. No. 526",Andaman and Nicobar Islands,South Andaman,,744103,03192 233193,,,,,,,,,11.6498468,92.7294624,,"11.65, 92.729"
5,"G B Pant Hospital, Port Blair",Public/ Government,Hospital,Allopathic,"GB Pant Road, City Centre, Port Blair","GB Pant Road, City Centre, Port Blair",Andaman and Nicobar Islands,South Andaman,,744103,"03192 233665, 03192 246058, 03192 233455, 03192 230858",,,,http://www.and.nic.in/C_charter/health/dhs/index.html#gph,"Surgery, Medicine, Gynaecology, Pediatrics, ENT, Pathology and Ophthalmology",,,,11.6233774,92.7264828,,"11.623, 92.726"
6,"Care Hospital, Banjara",Private,Hospital,Allopathic,"Road No.1, Banjara Hills","Road No.1, Banjara Hills",Andhra Pradesh,Hyderabad,,500034,"040 30418888, 040 66668888, 040 23234444",,040 30418888,,www.carehospitals.com,"Anaesthesiology, Bio-Chemistry, Cardiac Yoga,\nCardiology\nCardiothoracic Surgery, Chest Physician, Critical Care, Dentistry and Maxillofacial Surgery, Dermatology, Diabetology, Dietetics, Emergency Medicine,\n Endocrinology, Endoscopy, Gastroenterology,\n Gastrointestinal Medicine,\n General Medicine,\n General Surgery,\n Geriatrics, Gynaecology,\n haematology, Hepatology,\n Internal Medicine,\n Interventional Radiology,\n Laboratory Medicine,\n Laparoscopic Surgery,\n Medical Oncology,\n Micro-Biology, Nephrology,\n Neuro Surgery, Neurology,\n Nuclear Medicine,\n Obstetrics and Gynaecology,\n Ophthalmology,\n Orthopedics and Traumatology,\nOtorhinolaryngology\n Pathology, Pediatric, Cardiology,\n Pediatric Surgery, Pediatric,\n Pediatric and Neonatology,\n Physiotherapy, Plastic Surgery and Cosmetic Surgery, Preventive, Medicine / Wellness, Psychiatry,\n Pulmonology, Radio-Diagnosis,\n Radiology, Respiratory, Medicine, Rheumatology, Sports Medicine\n Surgical Gastroenterology\n Surgical Oncology, Urology\n Vascular Surgery","Ambulance, Blood Bank,\nCasualty, Diagnostic, Services,\nDialysis Unit, Electrotherapy,\nEmergency Room, Exercise therapy,\nHome Health, Care Services\nLifestyle Clinic - A Preventive Medicine Centre, Pharmacy",,,17.4274003,78.4311174,,"17.427, 78.431"
7,Aasha Hospitals,,,,"7/201, Court Road","7/201, Court Road Anantapur 515001  Anantapur",Andhra Pradesh,Anantapur,,515001,08554    274194,9440285832,,,,,,,,14.6795736,77.592469,,"14.68, 77.592"
8,Abhaya Kidney Care Multispeciality Hospital,,,,"10-470, Adimurthy Nagar, Opposite Guild Off Service School","10-470, Adimurthy Nagar, Opposite Guild Off Service School",Andhra Pradesh,Anantapur,,515001,277444,,,,,,,,,,,,
9,Baby Hospital,,,,"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex","Hyma Test Tube Baby and Research Centre, Baby Hospital Complex, Sainagar,Anantapur",Andhra Pradesh,Anantapur,,515001,,,,,,,,,,14.6818877,77.6005911,,"14.682, 77.601"
10,Dr Akbar Eye Hospital And Laser Centre,,,,"12-3-234, 6Th Cross Sai Nagar","12-3-234, 6Th Cross Sai Nagar Anantapur 515001  Anantapur",Andhra Pradesh,Anantapur,,515001,08554    235009,,,,,,,,,14.6723351,77.6018211,,"14.672, 77.602"
